feature,training_mean,new_data_mean,training_std,new_data_std,mean_difference_percent,drift
age,54.366,53.54,9.082,9.794,1.52,No
gender,,0.68,,0.469,,No
cp,0.967,1.21,1.032,1.076,25.13,Yes
trestbps,131.712,129.14,17.629,16.342,1.95,No
chol,246.318,248.39,51.908,60.813,0.84,No
fbs,0.149,0.12,0.356,0.327,19.2,Yes
restecg,0.528,0.44,0.526,0.519,16.67,Yes
thalach,149.866,151.31,22.564,22.387,0.96,No
exang,0.327,0.24,0.47,0.429,26.55,Yes
oldpeak,1.04,0.928,1.161,1.058,10.74,Yes
slope,1.399,1.47,0.616,0.577,5.05,No
ca,0.729,0.69,1.023,1.098,5.4,No
thal,2.314,2.29,0.612,0.608,1.02,No
